second, t_delta, rpm
1.766, 0.02400000000000002, 2499.9999999999977
1.79, 0.02200000000000002, 2727.2727272727248
1.812, 0.02400000000000002, 2499.9999999999977
1.836, 0.02200000000000002, 2727.2727272727248
1.858, 0.0239999999999998, 2500.000000000021
1.882, 0.02200000000000002, 2727.2727272727248
1.904, 0.02200000000000002, 2727.2727272727248
1.926, 0.02200000000000002, 2727.2727272727248
1.948, 0.02400000000000002, 2499.9999999999977
1.972, 0.02200000000000002, 2727.2727272727248
1.994, 0.04200000000000004, 1428.5714285714273
2.036, 0.021999999999999797, 2727.2727272727525
2.058, 0.02200000000000024, 2727.2727272726975
2.08, 0.020000000000000018, 2999.9999999999973
2.1, 0.021999999999999797, 2727.2727272727525
2.122, 0.02200000000000024, 2727.2727272726975
2.144, 0.020000000000000018, 2999.9999999999973
2.164, 0.020000000000000018, 2999.9999999999973
2.184, 0.021999999999999797, 2727.2727272727525
2.206, 0.020000000000000018, 2999.9999999999973
2.226, 0.020000000000000018, 2999.9999999999973
2.246, 0.020000000000000018, 2999.9999999999973
2.266, 0.021999999999999797, 2727.2727272727525
2.288, 0.020000000000000018, 2999.9999999999973
2.308, 0.020000000000000018, 2999.9999999999973
2.328, 0.020000000000000018, 2999.9999999999973
2.348, 0.020000000000000018, 2999.9999999999973
2.368, 0.020000000000000018, 2999.9999999999973
2.388, 0.020000000000000018, 2999.9999999999973
2.408, 0.020000000000000018, 2999.9999999999973
2.428, 0.018000000000000238, 3333.3333333332894
2.446, 0.020000000000000018, 2999.9999999999973
2.466, 0.020000000000000018, 2999.9999999999973
2.486, 0.019999999999999574, 3000.000000000064
2.506, 0.020000000000000018, 2999.9999999999973
2.526, 0.018000000000000238, 3333.3333333332894
2.544, 0.020000000000000018, 2999.9999999999973
2.564, 0.020000000000000018, 2999.9999999999973
2.584, 0.017999999999999794, 3333.3333333333717
2.602, 0.020000000000000018, 2999.9999999999973
2.622, 0.020000000000000018, 2999.9999999999973
2.642, 0.018000000000000238, 3333.3333333332894
2.66, 0.020000000000000018, 2999.9999999999973
2.68, 0.017999999999999794, 3333.3333333333717
2.698, 0.020000000000000018, 2999.9999999999973
2.718, 0.018000000000000238, 3333.3333333332894
2.736, 0.019999999999999574, 3000.000000000064
2.756, 0.018000000000000238, 3333.3333333332894
2.774, 0.017999999999999794, 3333.3333333333717
2.792, 0.020000000000000018, 2999.9999999999973
2.812, 0.018000000000000238, 3333.3333333332894
2.83, 0.020000000000000018, 2999.9999999999973
2.85, 0.017999999999999794, 3333.3333333333717
2.868, 0.018000000000000238, 3333.3333333332894
2.886, 0.020000000000000018, 2999.9999999999973
2.906, 0.017999999999999794, 3333.3333333333717
2.924, 0.018000000000000238, 3333.3333333332894
2.942, 0.017999999999999794, 3333.3333333333717
2.96, 0.020000000000000018, 2999.9999999999973
2.98, 0.018000000000000238, 3333.3333333332894
2.998, 0.017999999999999794, 3333.3333333333717
3.016, 0.017999999999999794, 3333.3333333333717
3.034, 0.018000000000000238, 3333.3333333332894
3.052, 0.017999999999999794, 3333.3333333333717
3.07, 0.020000000000000018, 2999.9999999999973
3.09, 0.018000000000000238, 3333.3333333332894
3.108, 0.017999999999999794, 3333.3333333333717
3.126, 0.018000000000000238, 3333.3333333332894
3.144, 0.017999999999999794, 3333.3333333333717
3.162, 0.018000000000000238, 3333.3333333332894
3.18, 0.017999999999999794, 3333.3333333333717
3.198, 0.018000000000000238, 3333.3333333332894
3.216, 0.017999999999999794, 3333.3333333333717
3.234, 0.017999999999999794, 3333.3333333333717
3.252, 0.018000000000000238, 3333.3333333332894
3.27, 0.017999999999999794, 3333.3333333333717
3.288, 0.018000000000000238, 3333.3333333332894
3.306, 0.03399999999999981, 1764.7058823529512
3.34, 0.018000000000000238, 3333.3333333332894
3.358, 0.017999999999999794, 3333.3333333333717
3.376, 0.018000000000000238, 3333.3333333332894
